Bug,,,,,,,Fire,,,,,,,Dark,,,,,,,Ghost,,,,,,,Fairy,,,,,,,Figthing,,,,,,,Poison,,,,,,,Ice,,,,,,,Flying,,,,,,,Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Move,PowerPWR,EnergyENG,DurationDUR,"P/S
                                
                                    Power per Second (DPS)
                                    How effective a move is at dealing damage","E/S
                                
                                    Energy per Second (EPS)
                                    How effective a fast move is at building up charged move energy","P/E
                                
                                    Power per Energy (DPE)
                                    How efficiently a charged move converts energy into damage","P2/ES
                                
                                    P/S * P/E
                                    How well a charged move both uses charged energy and deals damage","PE/S2
                                
                                    P/S * E/S
                                    How well a fast move accomplishes both building charged energy and dealing damage on its own","Top Users

                                    
                                        AttackerDefender",Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,"Fairy
Normal",,,,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,,,,,Grass,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,Ice,,,,,,,,,,,,,,,,,,Fighting,,,,,,,,,,,,,,,,,,Poison,,,,,,,,,,,,,,,,,,Ground,,,,,,,,,,,,,,,,,,Flying,,,,,,,,,,,,,,,,,,Psychic,,,,,,,,,,,,,,,,,,Bug,,,,,,,,,,,,,,,,,,Rock,,,,,,,,,,,,,,,,,,Ghost,,,,,,,,,,,,,,,,,,Dragon,,,,,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,Fairy
10,Shadow Pinsir,Fury Cutter,X-Scissor,eDPS 20.69,98.10%,,10,Shadow Ho-Oh (Apex),Incinerate,Sacred Fire+*,eDPS 24.83,108.50%,,10,Mega Salamence,Bite,Brutal Swing,eDPS 22.64,100.40%,,10,Kyurem (Black),Shadow Claw,Freeze Shock*,eDPS 21.78,101.80%,,10,Tapu Bulu,Bullet Seed,Nature's Madness*,eDPS 18.95,104.20%,,10,Keldeo (Ordinary),Low Kick,Sacred Sword,eDPS 23.17,96.50%,,10,Shadow Darkrai,Snarl,Sludge Bomb*,eDPS 19.99,98.80%,,10,Mega Abomasnow,Powder Snow,Weather Ball Ice,eDPS 20.78,97.40%,,10,Shadow Staraptor,Gust*,Fly,eDPS 24.26,105.50%,,10,Shadow Venusaur,Vine Whip,Frenzy Plant*,eDPS 20.84,102.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mega Metagross,Fury Cutter,Meteor Mash*,eDPS 19.91,94.40%,,11,Shadow Blaziken,Fire Spin,Blast Burn*,eDPS 24.80,108.30%,,11,Hydreigon,Bite,Brutal Swing*,eDPS 22.55,100.00%,,11,Blacephalon,Astonish,Shadow Ball,eDPS 21.72,101.50%,,11,Xurkitree,Thunder Shock,Dazzling Gleam,eDPS 18.78,103.30%,,11,Shadow Raikou,Thunder Shock,Aura Sphere,eDPS 22.66,94.30%,,11,Shadow Scolipede,Poison Jab,Sludge Bomb,eDPS 19.70,97.30%,,11,Primal Kyogre,Waterfall,Avalanche,eDPS 20.76,97.30%,,11,Enamorus (Incarnate),Fairy Wind,Fly,eDPS 23.71,103.10%,,11,Primal Groudon,Mud Shot,Solar Beam,eDPS 20.75,101.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Shadow Metagross,Fury Cutter,Meteor Mash*,eDPS 19.73,93.50%,,12,Shadow Emboar,Ember,Blast Burn*,eDPS 24.58,107.40%,,12,Shadow Weavile,Snarl,Foul Play,eDPS 22.49,99.70%,,12,Shadow Regigigas,Hidden Power Ghost,Crush Grip*,eDPS 21.45,100.30%,,12,Enamorus (Therian),Fairy Wind,Fly,eDPS 18.29,100.60%,,12,Shadow Machamp,Counter,Dynamic Punch,eDPS 22.51,93.70%,,12,Shadow Ho-Oh (Apex),Hidden Power Poison,Brave Bird,eDPS 19.58,96.80%,,12,Regigigas,Hidden Power Ice,Crush Grip*,eDPS 20.70,97.00%,,12,Mega Pidgeot,Gust*,Brave Bird,eDPS 23.65,102.80%,,12,Xurkitree,Thunder Shock,Power Whip,eDPS 20.39,100.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Genesect (Douse Drive),Fury Cutter,X-Scissor,eDPS 19.52,92.50%,,13,Shadow Charizard,Fire Spin,Blast Burn*,eDPS 24.36,106.40%,,13,Darkrai,Snarl,Shadow Ball,eDPS 22.46,99.60%,,13,Gholdengo,Hex,Shadow Ball,eDPS 21.39,100.00%,,13,Gardevoir,Charm,Dazzling Gleam,eDPS 18.18,100.00%,,13,Blaziken,Counter,Aura Sphere,eDPS 22.51,93.70%,,13,Shadow Ho-Oh,Hidden Power Poison,Brave Bird,eDPS 19.58,96.80%,,13,Darmanitan (Galarian),Ice Fang,Avalanche,eDPS 20.60,96.50%,,13,Moltres,Wing Attack,Fly,eDPS 23.61,102.60%,,13,Rillaboom,Razor Leaf,Frenzy Plant*,eDPS 20.37,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Genesect (Chill Drive),Fury Cutter,X-Scissor,eDPS 19.52,92.50%,,14,Shadow Chandelure,Fire Spin,Overheat,eDPS 24.25,106.00%,,14,Tyranitar,Bite,Brutal Swing,eDPS 22.30,98.90%,,14,Shadow Giratina (Altered),Shadow Claw,Shadow Force*,eDPS 21.36,99.80%,,14,Togekiss,Charm,Dazzling Gleam,eDPS 18.17,99.90%,,14,Shadow Hariyama,Force Palm,Dynamic Punch,eDPS 22.19,92.40%,,14,Revavroom,Poison Jab,Gunk Shot,eDPS 19.51,96.40%,,14,Mamoswine,Powder Snow,Avalanche,eDPS 20.47,95.90%,,14,Articuno (Galarian),Psycho Cut,Fly,eDPS 23.45,102.00%,,14,Shadow Torterra,Razor Leaf,Frenzy Plant*,eDPS 20.08,98.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Genesect (Burn Drive),Fury Cutter,X-Scissor,eDPS 19.52,92.50%,,15,Shadow Salamence,Fire Fang,Fly,eDPS 23.90,104.40%,,15,Mega Gyarados,Bite,Crunch,eDPS 21.89,97.10%,,15,Chandelure,Hex,Shadow Ball,eDPS 21.33,99.70%,,15,Shadow Granbull,Charm,Play Rough,eDPS 18.13,99.70%,,15,Urshifu (Rapid Strike),Counter,Dynamic Punch,eDPS 21.93,91.30%,,15,Overqwil,Poison Jab,Sludge Bomb,eDPS 19.49,96.30%,,15,Mega Glalie,Frost Breath,Avalanche,eDPS 20.31,95.20%,,15,Shadow Ho-Oh (Apex),Hidden Power Flying,Brave Bird,eDPS 23.45,101.90%,,15,Mega Gallade,Low Kick,Leaf Blade,eDPS 19.52,95.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Genesect (Shock Drive),Fury Cutter,X-Scissor,eDPS 19.52,92.50%,,16,Mega Salamence,Fire Fang,Fly,eDPS 23.84,104.10%,,16,Shadow Houndoom,Snarl,Foul Play,eDPS 21.32,94.50%,,16,Shadow Gengar,Lick*,Shadow Ball,eDPS 21.30,99.60%,,16,Mega Gallade,Charm,Psychic,eDPS 18.01,99.00%,,16,Mega Alakazam,Counter*,Focus Blast,eDPS 21.91,91.30%,,16,Shadow Muk (Alolan),Poison Jab,Gunk Shot,eDPS 19.36,95.70%,,16,Shadow Aurorus,Frost Breath,Weather Ball Ice,eDPS 20.11,94.30%,,16,Shadow Ho-Oh,Hidden Power Flying,Brave Bird,eDPS 23.45,101.90%,,16,Meowscarada,Leafage,Frenzy Plant*,eDPS 19.19,94.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Genesect (Normal),Fury Cutter,X-Scissor,eDPS 19.52,92.50%,,17,Shadow Darmanitan,Fire Fang,Overheat,eDPS 23.81,104.00%,,17,Shadow Regigigas,Hidden Power Dark,Crush Grip*,eDPS 21.26,94.30%,,17,Dragapult,Astonish,Shadow Ball,eDPS 21.30,99.60%,,17,Shadow Ursaluna,Tackle,Play Rough,eDPS 17.84,98.10%,,17,Mega Gallade,Low Kick,Close Combat,eDPS 21.76,90.60%,,17,Shadow Muk,Poison Jab,Gunk Shot,eDPS 19.34,95.60%,,17,Kyurem,Dragon Breath,Glaciate*,eDPS 20.01,93.80%,,17,Shadow Lugia (Apex),Extrasensory,Aeroblast+*,eDPS 23.43,101.90%,,17,Roserade,Magical Leaf,Grass Knot,eDPS 19.04,93.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Shadow Scyther,Fury Cutter,Bug Buzz*,eDPS 19.45,92.20%,,18,Primal Groudon,Mud Shot,Fire Blast,eDPS 23.68,103.40%,,18,Kingambit,Snarl,Foul Play,eDPS 20.94,92.80%,,18,Giratina (Origin),Shadow Claw,Shadow Force*,eDPS 21.17,99.00%,,18,Zacian (Hero of Many Battles),Snarl,Play Rough,eDPS 17.82,98.00%,,18,Shadow Regigigas,Hidden Power Fighting,Crush Grip*,eDPS 21.59,89.90%,,18,Shadow Victreebel,Acid,Sludge Bomb,eDPS 19.31,95.40%,,18,Shadow Articuno,Frost Breath,Triple Axel,eDPS 19.52,91.50%,,18,Salamence,Fire Fang,Fly,eDPS 23.00,100.00%,,18,Tapu Bulu,Bullet Seed,Grass Knot,eDPS 18.91,92.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mega Sceptile,Fury Cutter,Breaking Swipe,eDPS 19.40,92.00%,,19,Heatran,Fire Spin,Magma Storm*,eDPS 23.67,103.40%,,19,Shadow Honchkrow,Snarl,Dark Pulse,eDPS 20.85,92.50%,,19,Necrozma (Dusk Mane),Shadow Claw,Sunsteel Strike*,eDPS 20.90,97.70%,,19,Shadow Latias,Charm,Aura Sphere,eDPS 17.58,96.70%,,19,Urshifu (Single Strike),Counter,Dynamic Punch,eDPS 21.53,89.70%,,19,Shadow Vileplume,Acid,Sludge Bomb,eDPS 19.25,95.10%,,19,Glaceon,Frost Breath,Avalanche,eDPS 19.15,89.70%,,19,Shadow Zapdos,Thunder Shock*,Drill Peck,eDPS 22.90,99.60%,,19,Chesnaught,Vine Whip,Frenzy Plant*,eDPS 18.63,91.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
